"Ethereum Version","Num all files","Size all files (B)","Num code files (cpp, py, c, h, sh, sol, go, c, js, java)","Size code files (B)","*","All line additions","All line removals","All files changed","Ratio all files changed","All changed bytes","Ratio all bytes changed","*","Code line additions","Code line removals","Code files changed","Ratio code files changed","Code changed bytes","Ratio code bytes changed","*","File extenension histogram",
"go-ethereum-0.9.20","1901","271097192","1740","267226099","*","4762","619","55","0.028932140978432403","486193","0.0017934269123672812","*","4762","619","55","0.031609195402298854","486193","0.0018194068686382314","*",".json (700), .go (686), .h (82),  (80), .png (59), .qml (54), .cpp (42), .md (26), .yml (24), .otf (17), .c (17), .js (16), .ttf (16), .sh (12), .txt (11), .html (11), .markdown (8), .ini (6), .s (6), .cmake (6), .css (4), .py (3), .in (2), .hpp (1), .cl (1), .desktop (1), .rl (1), .xml (1), .mtl (1), .blend (1), .obj (1), .am (1), .ac (1), .java (1), .m4 (1), .conf (1)",
"go-ethereum-0.9.21","2043","297347701","1819","292828676","*","611119","3243","200","0.09789525208027411","91694087","0.3083732838411957","*","591443","3218","136","0.07476635514018691","91046155","0.3109195323479863","*",".go (749), .json (704),  (82), .h (82), .png (59), .qml (54), .dat (45), .cpp (42), .txt (27), .md (26), .yml (24), .html (23), .otf (17), .c (17), .js (16), .ttf (16), .sh (12), .markdown (8), .ini (6), .s (6), .cmake (6), .css (4), .py (3), .in (2), .hpp (1), .cl (1), .desktop (1), .rl (1), .xml (1), .mtl (1), .blend (1), .obj (1), .am (1), .ac (1), .java (1), .m4 (1), .conf (1)",
"go-ethereum-0.9.21.1","2043","297347883","1819","292828858","*","36","27","5","0.0024473813020068525","52304","0.00017590170635248815","*","36","27","5","0.002748763056624519","52304","0.00017861627558578942","*",".go (749), .json (704),  (82), .h (82), .png (59), .qml (54), .dat (45), .cpp (42), .txt (27), .md (26), .yml (24), .html (23), .otf (17), .c (17), .js (16), .ttf (16), .sh (12), .markdown (8), .ini (6), .s (6), .cmake (6), .css (4), .py (3), .in (2), .hpp (1), .cl (1), .desktop (1), .rl (1), .xml (1), .mtl (1), .blend (1), .obj (1), .am (1), .ac (1), .java (1), .m4 (1), .conf (1)",
"go-ethereum-0.9.23","2043","297755071","1819","293236046","*","12301","938","43","0.021047479197258932","1335363","0.004484769967192263","*","12301","938","43","0.023639362286970864","1335363","0.004553884211083653","*",".go (749), .json (704),  (82), .h (82), .png (59), .qml (54), .dat (45), .cpp (42), .txt (27), .md (26), .yml (24), .html (23), .otf (17), .c (17), .js (16), .ttf (16), .sh (12), .markdown (8), .ini (6), .s (6), .cmake (6), .css (4), .py (3), .in (2), .hpp (1), .cl (1), .desktop (1), .rl (1), .xml (1), .mtl (1), .blend (1), .obj (1), .am (1), .ac (1), .java (1), .m4 (1), .conf (1)",
"go-ethereum-0.9.24","2058","298249481","1834","293730456","*","14828","6219","53","0.02575315840621963","2503116","0.008392691888707763","*","14828","5238","49","0.026717557251908396","2503116","0.008521812937232495","*",".go (765), .json (703),  (82), .h (82), .png (59), .qml (54), .dat (45), .cpp (42), .txt (27), .md (26), .yml (24), .html (23), .otf (17), .c (17), .js (16), .ttf (16), .sh (12), .markdown (8), .ini (6), .s (6), .cmake (6), .css (4), .py (3), .in (2), .hpp (1), .cl (1), .desktop (1), .rl (1), .xml (1), .mtl (1), .blend (1), .obj (1), .am (1), .ac (1), .java (1), .m4 (1), .conf (1)",
"go-ethereum-0.9.25","2058","298254053","1834","293735028","*","377","248","20","0.009718172983479106","231617","0.0007765762029728394","*","377","248","20","0.010905125408942203","231617","0.000788523594128515","*",".go (765), .json (703),  (82), .h (82), .png (59), .qml (54), .dat (45), .cpp (42), .txt (27), .md (26), .yml (24), .html (23), .otf (17), .c (17), .js (16), .ttf (16), .sh (12), .markdown (8), .ini (6), .s (6), .cmake (6), .css (4), .py (3), .in (2), .hpp (1), .cl (1), .desktop (1), .rl (1), .xml (1), .mtl (1), .blend (1), .obj (1), .am (1), .ac (1), .java (1), .m4 (1), .conf (1)",
"go-ethereum-0.9.26","2059","298216760","1835","293697735","*","780","1988","24","0.011656143759106362","277405","0.0009302126413015821","*","780","1988","24","0.013079019073569483","277405","0.0009445255000008767","*",".go (766), .json (703),  (82), .h (82), .png (59), .qml (54), .dat (45), .cpp (42), .txt (27), .md (26), .yml (24), .html (23), .otf (17), .c (17), .js (16), .ttf (16), .sh (12), .markdown (8), .ini (6), .s (6), .cmake (6), .css (4), .py (3), .in (2), .hpp (1), .cl (1), .desktop (1), .rl (1), .xml (1), .mtl (1), .blend (1), .obj (1), .am (1), .ac (1), .java (1), .m4 (1), .conf (1)",
"go-ethereum-0.9.28","2084","300528732","1860","296009184","*","29270","6768","110","0.052783109404990404","6429038","0.021392423803258852","*","29262","6750","107","0.057526881720430106","6423709","0.021701046275645286","*",".go (764), .json (730),  (82), .h (82), .png (59), .qml (54), .dat (45), .cpp (42), .txt (27), .md (26), .yml (24), .html (23), .otf (17), .c (17), .js (16), .ttf (16), .sh (12), .markdown (8), .ini (6), .s (6), .cmake (6), .css (4), .py (3), .in (2), .hpp (1), .cl (1), .desktop (1), .rl (1), .xml (1), .mtl (1), .blend (1), .obj (1), .am (1), .ac (1), .java (1), .m4 (1), .conf (1)",
"go-ethereum-0.9.30","2127","300755787","1903","296236080","*","9448","1112","91","0.04278326281147156","850008","0.0028262398821273555","*","9443","1082","89","0.04676826064109301","849031","0.0028660620947995263","*",".go (807), .json (730),  (82), .h (82), .png (59), .qml (54), .dat (45), .cpp (42), .txt (27), .md (26), .yml (24), .html (23), .otf (17), .c (17), .js (16), .ttf (16), .sh (12), .markdown (8), .ini (6), .s (6), .cmake (6), .css (4), .py (3), .in (2), .hpp (1), .cl (1), .desktop (1), .rl (1), .xml (1), .mtl (1), .blend (1), .obj (1), .am (1), .ac (1), .java (1), .m4 (1), .conf (1)",
"go-ethereum-0.9.32","1984","295703563","1843","294872456","*","6993","36992","262","0.13205645161290322","1273957","0.004308223367602777","*","6991","1717","96","0.05208898534997287","1266133","0.00429383272067975","*",".go (788), .json (724), .h (80),  (77), .dat (45), .cpp (39), .png (35), .qml (34), .md (26), .txt (25), .yml (23), .c (17), .sh (12), .html (12), .markdown (8), .js (6), .ini (6), .s (6), .cmake (5), .py (3), .in (2), .desktop (1), .rl (1), .xml (1), .mtl (1), .blend (1), .obj (1), .am (1), .ac (1), .java (1), .m4 (1), .conf (1)",
"go-ethereum-0.9.34","1891","281796106","1752","280965679","*","16510","332051","446","0.23585404547858277","2712660","0.009626321805880455","*","15377","1608","177","0.10102739726027397","866542","0.003084156054519385","*",".go (833), .json (726),  (79), .h (47), .dat (45), .yml (25), .md (25), .txt (24), .c (15), .html (12), .sh (9), .png (9), .markdown (8), .js (6), .ini (6), .cmake (5), .py (4), .cpp (3), .in (2), .gif (2), .mkd (1), .am (1), .ac (1), .java (1), .m4 (1), .conf (1)",
"go-ethereum-0.9.34-1","1891","281796222","1752","280965795","*","19","16","2","0.0010576414595452142","40669","0.000144320600579237","*","19","16","2","0.001141552511415525","40669","0.0001447471568558728","*",".go (833), .json (726),  (79), .h (47), .dat (45), .yml (25), .md (25), .txt (24), .c (15), .html (12), .sh (9), .png (9), .markdown (8), .js (6), .ini (6), .cmake (5), .py (4), .cpp (3), .in (2), .gif (2), .mkd (1), .am (1), .ac (1), .java (1), .m4 (1), .conf (1)",
"go-ethereum-0.9.36","1900","282141113","1758","281268572","*","13585","7018","361","0.19","6012568","0.02131049933158802","*","12475","3307","346","0.19681456200227532","5955909","0.021175167057057482","*",".go (838), .json (726),  (81), .h (47), .dat (45), .yml (25), .md (25), .txt (24), .c (15), .html (12), .sh (9), .png (9), .markdown (8), .js (6), .ini (6), .cmake (5), .py (4), .cpp (3), .in (2), .gif (2), .lesser (1), .orig (1), .mkd (1), .am (1), .ac (1), .java (1), .m4 (1), .conf (1)",
"go-ethereum-0.9.38","1904","281934426","1762","281061842","*","1433","1935","37","0.019432773109243698","2678923","0.009501936453833418","*","1431","406","35","0.019863791146424517","2677312","0.009525704311010671","*",".go (838), .json (730),  (81), .h (47), .dat (45), .yml (25), .md (25), .txt (24), .c (15), .html (12), .sh (9), .png (9), .markdown (8), .js (6), .ini (6), .cmake (5), .py (4), .cpp (3), .in (2), .gif (2), .lesser (1), .orig (1), .mkd (1), .am (1), .ac (1), .java (1), .m4 (1), .conf (1)",
"go-ethereum-1.0.0","1890","281995414","1750","281124359","*","11204","11430","373","0.19735449735449737","7858839","0.027868676616138163","*","11204","9858","355","0.20285714285714285","7858839","0.027955026835650338","*",".go (836), .json (729),  (77), .h (47), .dat (45), .yml (24), .md (24), .txt (24), .c (15), .html (12), .sh (9), .png (9), .markdown (8), .js (6), .cmake (5), .py (4), .cpp (3), .in (2), .gif (2), .lesser (1), .orig (1), .ini (1), .mkd (1), .am (1), .ac (1), .java (1), .m4 (1), .conf (1)",
"go-ethereum-1.0.1.1","1897","282358866","1757","281487839","*","1369","528","60","0.0316288877174486","1099606","0.003894356198469787","*","1364","342","58","0.033010813887307915","1098639","0.0039029714530580484","*",".go (842), .json (730),  (77), .h (47), .dat (45), .yml (24), .md (24), .txt (24), .c (15), .html (12), .sh (9), .png (9), .markdown (8), .js (6), .cmake (5), .py (4), .cpp (3), .in (2), .gif (2), .lesser (1), .orig (1), .ini (1), .mkd (1), .am (1), .ac (1), .java (1), .m4 (1), .conf (1)",
"go-ethereum-1.0.2","1897","282412362","1757","281541335","*","791","171","7","0.0036900369003690036","214369","0.0007590637976392832","*","791","171","7","0.00398406374501992","214369","0.0007614121741661841","*",".go (842), .json (730),  (77), .h (47), .dat (45), .yml (24), .md (24), .txt (24), .c (15), .html (12), .sh (9), .png (9), .markdown (8), .js (6), .cmake (5), .py (4), .cpp (3), .in (2), .gif (2), .lesser (1), .orig (1), .ini (1), .mkd (1), .am (1), .ac (1), .java (1), .m4 (1), .conf (1)",
"go-ethereum-1.0.3","1897","282412254","1757","281541227","*","29","28","3","0.0015814443858724301","40515","0.00014346048879309607","*","29","28","3","0.001707455890722823","40515","0.000143904324179137","*",".go (842), .json (730),  (77), .h (47), .dat (45), .yml (24), .md (24), .txt (24), .c (15), .html (12), .sh (9), .png (9), .markdown (8), .js (6), .cmake (5), .py (4), .cpp (3), .in (2), .gif (2), .lesser (1), .orig (1), .ini (1), .mkd (1), .am (1), .ac (1), .java (1), .m4 (1), .conf (1)",
"go-ethereum-1.1.0","1910","282539942","1768","281668462","*","8022","5470","145","0.07591623036649214","1658284","0.005869202025956387","*","7662","2539","123","0.06957013574660634","1641346","0.005827226762788942","*",".go (848), .json (730),  (80), .h (47), .dat (45), .md (27), .yml (25), .txt (24), .c (15), .html (12), .sh (9), .png (9), .markdown (8), .js (6), .cmake (5), .py (4), .cpp (3), .in (2), .gif (2), .lesser (1), .orig (1), .ini (1), .mkd (1), .am (1), .ac (1), .java (1), .m4 (1), .conf (1)",
"go-ethereum-1.1.1","1910","282539917","1768","281668437","*","29","26","3","0.0015706806282722514","40703","0.00014406106022888087","*","29","26","3","0.0016968325791855204","40703","0.0001445067840526271","*",".go (848), .json (730),  (80), .h (47), .dat (45), .md (27), .yml (25), .txt (24), .c (15), .html (12), .sh (9), .png (9), .markdown (8), .js (6), .cmake (5), .py (4), .cpp (3), .in (2), .gif (2), .lesser (1), .orig (1), .ini (1), .mkd (1), .am (1), .ac (1), .java (1), .m4 (1), .conf (1)",
"go-ethereum-1.1.2","1910","282539917","1768","281668437","*","3","3","2","0.0010471204188481676","40016","0.0001416295453926958","*","3","3","2","0.0011312217194570137","40016","0.0001420677461280477","*",".go (848), .json (730),  (80), .h (47), .dat (45), .md (27), .yml (25), .txt (24), .c (15), .html (12), .sh (9), .png (9), .markdown (8), .js (6), .cmake (5), .py (4), .cpp (3), .in (2), .gif (2), .lesser (1), .orig (1), .ini (1), .mkd (1), .am (1), .ac (1), .java (1), .m4 (1), .conf (1)",
"go-ethereum-1.1.3","1910","282543100","1768","281671620","*","107","2","3","0.0015706806282722514","36504","0.00012919798784680992","*","107","2","3","0.0016968325791855204","36504","0.00012959772092055281","*",".go (848), .json (730),  (80), .h (47), .dat (45), .md (27), .yml (25), .txt (24), .c (15), .html (12), .sh (9), .png (9), .markdown (8), .js (6), .cmake (5), .py (4), .cpp (3), .in (2), .gif (2), .lesser (1), .orig (1), .ini (1), .mkd (1), .am (1), .ac (1), .java (1), .m4 (1), .conf (1)",
"go-ethereum-1.2.1","1923","283410978","1780","282538354","*","29612","5130","139","0.07228289131565263","5302292","0.01870884479287884","*","29554","4864","129","0.07247191011235955","5294000","0.018737279116448735","*",".go (858), .json (731),  (83), .h (47), .dat (45), .md (27), .yml (25), .txt (24), .c (15), .html (12), .sh (9), .png (9), .markdown (8), .js (5), .cmake (5), .py (4), .cpp (3), .in (2), .gif (2), .lesser (1), .orig (1), .ini (1), .mkd (1), .am (1), .ac (1), .java (1), .m4 (1), .conf (1)",
"go-ethereum-1.2.2","1923","283413298","1780","282540674","*","59","12","6","0.0031201248049922","152187","0.0005369790375891254","*","58","11","5","0.0028089887640449437","152181","0.0005386162560085066","*",".go (858), .json (731),  (83), .h (47), .dat (45), .md (27), .yml (25), .txt (24), .c (15), .html (12), .sh (9), .png (9), .markdown (8), .js (5), .cmake (5), .py (4), .cpp (3), .in (2), .gif (2), .lesser (1), .orig (1), .ini (1), .mkd (1), .am (1), .ac (1), .java (1), .m4 (1), .conf (1)",
"go-ethereum-1.2.3","1923","283413401","1780","282540777","*","15","13","5","0.0026001040041601664","35526","0.00012535045934542805","*","14","12","4","0.0022471910112359553","35520","0.00012571636695116756","*",".go (858), .json (731),  (83), .h (47), .dat (45), .md (27), .yml (25), .txt (24), .c (15), .html (12), .sh (9), .png (9), .markdown (8), .js (5), .cmake (5), .py (4), .cpp (3), .in (2), .gif (2), .lesser (1), .orig (1), .ini (1), .mkd (1), .am (1), .ac (1), .java (1), .m4 (1), .conf (1)",
"go-ethereum-1.3.1","1978","285873269","1832","284997584","*","57900","18512","341","0.1723963599595551","9113294","0.03187879031809721","*","57593","12068","288","0.1572052401746725","9069196","0.031822010112198006","*",".go (884), .json (734),  (85), .h (67), .dat (45), .md (27), .yml (25), .txt (24), .c (18), .html (12), .sh (9), .png (9), .markdown (8), .js (5), .cmake (5), .py (4), .cpp (3), .include (3), .in (2), .gif (2), .lesser (1), .orig (1), .ini (1), .mkd (1), .am (1), .ac (1), .java (1)",
"go-ethereum-1.3.2","1983","285975695","1837","285098072","*","3539","1772","66","0.03328290468986384","2906496","0.010163437141047948","*","3480","1090","61","0.03320631464344039","2902512","0.010180749310714384","*",".go (889), .json (734),  (85), .h (67), .dat (45), .md (27), .yml (25), .txt (24), .c (18), .html (12), .sh (9), .png (9), .markdown (8), .js (5), .cmake (5), .py (4), .cpp (3), .include (3), .in (2), .gif (2), .lesser (1), .orig (1), .ini (1), .mkd (1), .am (1), .ac (1), .java (1)",
"go-ethereum-1.3.3","1983","285988216","1837","285110593","*","432","108","10","0.005042864346949067","272682","0.0009534728521821333","*","431","107","9","0.004899292324442025","272676","0.0009563867730442411","*",".go (889), .json (734),  (85), .h (67), .dat (45), .md (27), .yml (25), .txt (24), .c (18), .html (12), .sh (9), .png (9), .markdown (8), .js (5), .cmake (5), .py (4), .cpp (3), .include (3), .in (2), .gif (2), .lesser (1), .orig (1), .ini (1), .mkd (1), .am (1), .ac (1), .java (1)",
"go-ethereum-1.3.4","2029","340326432","1884","339448154","*","196405","10368","134","0.06604238541153278","104618107","0.30740517680389867","*","196358","10316","130","0.06900212314225053","104607043","0.3081679536840256","*",".go (894), .json (776),  (85), .h (67), .dat (45), .md (26), .yml (25), .txt (24), .c (18), .html (12), .sh (9), .png (9), .markdown (8), .js (5), .cmake (5), .py (4), .cpp (3), .include (3), .in (2), .gif (2), .lesser (1), .orig (1), .ini (1), .mkd (1), .am (1), .ac (1), .java (1)",
"go-ethereum-1.3.5","2029","340326514","1884","339448236","*","8","4","3","0.0014785608674223755","48288","0.0001418872700585415","*","7","3","2","0.0010615711252653928","48282","0.00014223670910459526","*",".go (894), .json (776),  (85), .h (67), .dat (45), .md (26), .yml (25), .txt (24), .c (18), .html (12), .sh (9), .png (9), .markdown (8), .js (5), .cmake (5), .py (4), .cpp (3), .include (3), .in (2), .gif (2), .lesser (1), .orig (1), .ini (1), .mkd (1), .am (1), .ac (1), .java (1)",
"go-ethereum-1.3.6","2030","340326800","1884","339448278","*","24","3","5","0.0024630541871921183","29024","8.52827341249646e-05","*","3","2","2","0.0010615711252653928","28244","8.320560695258558e-05","*",".go (894), .json (776),  (85), .h (67), .dat (45), .md (27), .yml (25), .txt (24), .c (18), .html (12), .sh (9), .png (9), .markdown (8), .js (5), .cmake (5), .py (4), .cpp (3), .include (3), .in (2), .gif (2), .lesser (1), .orig (1), .ini (1), .mkd (1), .am (1), .ac (1), .java (1)",
"go-ethereum-1.4.0","2108","345507769","1963","345209563","*","219369","92751","1162","0.5512333965844403","13162074","0.03809487131966633","*","216190","10148","689","0.3509933774834437","12493326","0.036190555937756566","*",".go (985), .json (778),  (124), .h (68), .yml (31), .md (31), .s (21), .c (19), .sh (9), .pl (9), .markdown (8), .txt (7), .py (3), .include (3), .in (2), .lesser (1), .ini (1), .js (1), .920751759z--7ef5a6135f1fd6a02593eedc869c6d41d934aef8 (1), .cpp (1), .mkd (1), .deflate (1), .am (1), .ac (1), .java (1)",
"go-ethereum-1.4.1","2117","345595097","1972","345293655","*","2481","531","42","0.01983939537080775","518621","0.0015006607573486495","*","2444","505","40","0.02028397565922921","510180","0.0014775249779785267","*",".go (993), .json (778),  (124), .h (68), .yml (31), .md (31), .s (21), .c (19), .sh (9), .pl (9), .markdown (8), .txt (7), .py (3), .include (3), .in (2), .lesser (1), .ini (1), .js (1), .920751759z--7ef5a6135f1fd6a02593eedc869c6d41d934aef8 (1), .cpp (1), .mkd (1), .sol (1), .deflate (1), .am (1), .ac (1), .java (1)",
"go-ethereum-1.4.2","2120","345598849","1973","345296474","*","244","105","22","0.010377358490566037","726361","0.002101746004368203","*","199","103","19","0.00963000506842372","720885","0.002087727660954916","*",".go (994), .json (778),  (124), .h (68), .yml (31), .md (31), .s (21), .c (19), .sh (9), .pl (9), .markdown (8), .txt (7), .py (3), .include (3), .bat (2), .in (2), .lesser (1), .ini (1), .js (1), .920751759z--7ef5a6135f1fd6a02593eedc869c6d41d934aef8 (1), .cpp (1), .mkd (1), .sol (1), .deflate (1), .am (1), .ac (1), .java (1)",
"go-ethereum-1.4.3","2120","345598765","1973","345296390","*","2","6","3","0.0014150943396226414","35741","0.00010341761493273855","*","1","5","2","0.0010136847440446021","35735","0.00010349080104776074","*",".go (994), .json (778),  (124), .h (68), .yml (31), .md (31), .s (21), .c (19), .sh (9), .pl (9), .markdown (8), .txt (7), .py (3), .include (3), .bat (2), .in (2), .lesser (1), .ini (1), .js (1), .920751759z--7ef5a6135f1fd6a02593eedc869c6d41d934aef8 (1), .cpp (1), .mkd (1), .sol (1), .deflate (1), .am (1), .ac (1), .java (1)",
"go-ethereum-1.4.4","2120","345610537","1973","345308162","*","374","99","16","0.007547169811320755","324502","0.0009389239194405696","*","373","98","15","0.007602635580334516","324496","0.0009397287284509655","*",".go (994), .json (778),  (124), .h (68), .yml (31), .md (31), .s (21), .c (19), .sh (9), .pl (9), .markdown (8), .txt (7), .py (3), .include (3), .bat (2), .in (2), .lesser (1), .ini (1), .js (1), .920751759z--7ef5a6135f1fd6a02593eedc869c6d41d934aef8 (1), .cpp (1), .mkd (1), .sol (1), .deflate (1), .am (1), .ac (1), .java (1)",
"go-ethereum-1.4.5","2121","345625117","1974","345322740","*","563","176","18","0.008486562942008486","243028","0.000703154915677034","*","560","175","16","0.008105369807497468","234585","0.0006793210316818406","*",".go (995), .json (778),  (124), .h (68), .yml (31), .md (31), .s (21), .c (19), .sh (9), .pl (9), .markdown (8), .txt (7), .py (3), .include (3), .bat (2), .in (2), .lesser (1), .ini (1), .js (1), .920751759z--7ef5a6135f1fd6a02593eedc869c6d41d934aef8 (1), .cpp (1), .mkd (1), .sol (1), .deflate (1), .am (1), .ac (1), .java (1)",
"go-ethereum-1.4.6","2125","345668971","1978","345366516","*","3150","2181","61","0.028705882352941175","1264791","0.003658965964868163","*","3136","778","52","0.0262891809908999","1254572","0.003632581451526702","*",".go (997), .json (778),  (124), .h (68), .yml (31), .md (31), .s (21), .c (19), .sh (9), .pl (9), .markdown (8), .txt (7), .py (3), .js (3), .include (3), .bat (2), .in (2), .lesser (1), .ini (1), .920751759z--7ef5a6135f1fd6a02593eedc869c6d41d934aef8 (1), .cpp (1), .mkd (1), .sol (1), .deflate (1), .am (1), .ac (1), .java (1)",
"go-ethereum-1.4.7","2121","345691604","1969","345362219","*","1574","760","48","0.02263083451202263","408944","0.001182973480605563","*","997","351","34","0.017267648552564754","382008","0.001106108250943338","*",".go (997), .json (778),  (121), .h (68), .md (31), .yml (30), .s (21), .c (19), .sh (9), .pl (9), .markdown (8), .txt (7), .py (3), .js (3), .include (3), .bat (2), .in (2), .lesser (1), .ini (1), .920751759z--7ef5a6135f1fd6a02593eedc869c6d41d934aef8 (1), .cpp (1), .mkd (1), .sol (1), .deflate (1), .am (1), .ac (1), .java (1)",
"go-ethereum-1.4.8","2122","345766088","1970","345436703","*","475","11","15","0.00706880301602262","194019","0.000561127903324053","*","474","10","14","0.007106598984771574","194013","0.0005616455874985583","*",".go (998), .json (778),  (121), .h (68), .md (31), .yml (30), .s (21), .c (19), .sh (9), .pl (9), .markdown (8), .txt (7), .py (3), .js (3), .include (3), .bat (2), .in (2), .lesser (1), .ini (1), .920751759z--7ef5a6135f1fd6a02593eedc869c6d41d934aef8 (1), .cpp (1), .mkd (1), .sol (1), .deflate (1), .am (1), .ac (1), .java (1)",
"go-ethereum-1.4.9","2121","345691604","1969","345362219","*","11","475","15","0.007072135785007072","119535","0.00034578508305339113","*","10","116","13","0.006602336211274758","119529","0.000346097498290628","*",".go (997), .json (778),  (121), .h (68), .md (31), .yml (30), .s (21), .c (19), .sh (9), .pl (9), .markdown (8), .txt (7), .py (3), .js (3), .include (3), .bat (2), .in (2), .lesser (1), .ini (1), .920751759z--7ef5a6135f1fd6a02593eedc869c6d41d934aef8 (1), .cpp (1), .mkd (1), .sol (1), .deflate (1), .am (1), .ac (1), .java (1)",
"go-ethereum-1.4.10","2128","346174456","1975","345833627","*","10124","138","42","0.019736842105263157","1061760","0.0030671240514638085","*","9895","132","38","0.019240506329113925","1041389","0.003011242744188089","*",".go (1002), .json (779),  (121), .h (68), .yml (31), .md (31), .s (21), .c (19), .sh (9), .pl (9), .markdown (8), .txt (7), .py (3), .js (3), .include (3), .bat (2), .in (2), .lesser (1), .ini (1), .920751759z--7ef5a6135f1fd6a02593eedc869c6d41d934aef8 (1), .cpp (1), .mkd (1), .sol (1), .deflate (1), .am (1), .ac (1), .java (1)",
"go-ethereum-1.4.11","2134","346150237","1979","345808121","*","1364","1810","52","0.02436738519212746","573166","0.0016558301533099917","*","1201","1647","36","0.01819100555836281","564071","0.0016311675919259282","*",".go (1005), .json (779),  (120), .h (68), .yml (32), .md (32), .s (21), .c (19), .pl (9), .markdown (8), .sh (7), .txt (7), .py (3), .js (3), .include (3), .in (2), .lesser (1), .ini (1), .install (1), .changelog (1), .control (1), .copyright (1), .docs (1), .rules (1), .920751759z--7ef5a6135f1fd6a02593eedc869c6d41d934aef8 (1), .cpp (1), .mkd (1), .sol (1), .deflate (1), .am (1), .ac (1), .java (1)",
